11,,,,,,,,
Public,,,,,,,,
Private,,,,,,,,
Unverified ,,,,,,,,
,,,,,,,,
ULT_DUNS_NBR,ULT_SUPPLIER_NM,Revenue,SG&A,EBIT,SG&A %,Profit %,SG&A & P,OEM(s)
690541503,HITACHI LTD,64913127547,-12164063540,6960319577,-18.74%,10.72%,-8.02%,"General Motors, Other, Nissan, Ford, Volkswagen, Toyota, Suzuki, Mazda"
76854327,AUTOLIV INC,10815000000,-571000000,1090000000,-5.28%,10.08%,4.80%,"Hyundai, Honda, Toyota, Stellantis, Volkswagen, Mercedes, Renault, Nissan, Mitsubishi, General Motors, Ford, BMW, Tesla"
29990699,UNITED STATES STEEL CORP,,,,,,0.00%,
361293918,COOPER STANDARD HOLDINGS INC,2740920000,-214370000,106850000,-7.82%,3.90%,-3.92%,"General Motors, Ford, Stellantis, Volkswagen, Mercedes, Renault"
811784925,GRUPO CARSO SAB DE CV,11166713684,-1322644730,1037636903,-11.84%,9.29%,-2.55%,
50809177,SUPERIOR INDUSTRIES INTERNATIONAL,,,,,,0.00%,
688250455,HL MANDO CORPORATION,"5,461,036,393,000",,"474,429,980,250.00",,8.69%,8.69%,"General Motors, Hyundai, Kia, Ford, Nissan, Chrysler, Other, BMW, Renault, Volkswagen"
421342800,NINGBO JOYSON ELECTRONIC CORP,"60,573,340,873.00","2,336,929,230.00","3,173,151,492.00",3.86%,5.24%,9.10%,"Volkswagen, BMW, Mercedes, General Motors, Tesla, Audi, Toyota, Ford, Honda, Other"
544702061,WANXIANG GROUP CORPORATION,,,,,,0.00%,
1338979,TEXTRON INC,14799000000,1173000000,1001000000,7.93%,6.76%,14.69%,Other
690535646,JTEKT CORP,"12,251,910,000","1,413,640,000","251,790,000",11.54%,2.06%,13.59%,"Toyota, General Motors"
275137164,TOTALENERGIES SE,"182,344,000,000",,"25,631,000,000",0.00%,0.00%,0.00%,"Nissan, Kia, Mazda"
690673546,NIPPON SEIKI CO LTD,"206,844,000,000","233,110,000","73,570,000",0.11%,0.04%,0.15%,"General Motors, Honda, Nissan, Mazda, Subaru, BMW"
4312401,WORTHINGTON INDUSTRIES INC,"1,253,567,000","275,745,000","144,474,000",22.00%,11.53%,33.52%,"General Motors, Stellantis"
690536123,RYOBI LTD,1953640000,,"111,667,387",,5.72%,5.72%,"Volkswagen, Toyota"
690578091,INOUE RUBBER CO LTD,,,,,,0.00%,
690809090,F-TECH INC,1919360000,,63050000,,3.28%,3.28%,"Honda, Nissan, General Motors"
690661756,FCC CO LTD,1651630000,-195580000,112660000,-11.84%,6.82%,-5.02%,"Honda, Toyota, Ford, General Motors"
5092135,METHODE ELECTRONICS INC,984400000,-150700000,-21800000,-15.31%,-2.21%,-17.52%,General Motors
879168029,STRATTEC SECURITY CORPORATION,586028000,66666000,36529000,11.38%,6.23%,17.61%,"Stellantis, General Motors, Ford"
875648826,JOHNSON ELECTRIC HOLDINGS LIMITED,3626920000,-607510000,241490000,-16.75%,6.66%,-10.09%,"Ford, Volkswagen, General Motors"
3446796,NUCOR CORP,"31,882,590,000",-1124870000,2517960000,-3.53%,7.90%,4.37%,"General Motors, Mercedes"
65855363,GENTEX CORP,2431500000,158660000,462660000,6.53%,19.03%,25.55%,"Volkswagen, Mercedes, BMW, Toyota"
400020397,ARCELORMITTAL,61352000000,2499000000,3898000000,4.07%,6.35%,10.43%,"General Motors, Ford, Stellantis"
985419987,EATON CORPORATION PUBLIC LTD CO,26633000000,-4305000000,5048000000,-16.16%,18.95%,2.79%,General Motors
653821835,SHANGHAI AUTOMOTIVE INDUSTRY CORP G,,,,,,0.00%,"General Motors, Volkswagen"
